Index,ts,id.orig_p,id.resp_p,duration,orig_bytes,resp_bytes,local_orig,local_resp,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1,1526756262,38792,59353,2.998333,0,0,0,0,0,3,180,0,0,Anomaly
2,1526756268.874876,38792,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
3,1526756272.877722,38793,59353,2.997182,0,0,0,0,0,3,180,0,0,Anomaly
4,1526756279.884959,38793,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
5,1526756283.888751,38794,59353,2.996286,0,0,0,0,0,3,180,0,0,Anomaly
6,1526756290.895039,38794,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
7,1526756294.899769,38795,59353,2.995263,0,0,0,0,0,3,180,0,0,Anomaly
8,1526756301.905126,38795,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
9,1526756305.905907,38796,59353,2.999262,0,0,0,0,0,3,180,0,0,Anomaly
10,1526756312.915181,38796,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
11,1526756316.916918,38797,59353,2.998315,0,0,0,0,0,3,180,0,0,Anomaly
12,1526756323.925214,38797,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
13,1526756327.925861,38798,59353,2.999395,0,0,0,0,0,3,180,0,0,Anomaly
14,1526756277.958574,123,123,0.012703,48,48,0,0,0,1,76,1,76,Normal
15,1526756243,123,123,35.017664,288,288,0,0,0,6,456,6,456,Normal
16,1526756239.958006,123,123,38.01765,288,288,0,0,0,6,456,6,456,Normal
17,1526756335,38798,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
18,1526756338.936997,38799,59353,2.998379,0,0,0,0,0,3,180,0,0,Anomaly
19,1526756345.945417,38799,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
20,1526756349.947973,38800,59353,2.997387,0,0,0,0,0,3,180,0,0,Anomaly
21,1526756356.955458,38800,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
22,1526756360.959133,38801,59353,2.996386,0,0,0,0,0,3,180,0,0,Anomaly
23,1526756239.958289,123,123,68.014546,336,336,0,0,0,7,532,7,532,Normal
24,1526756367.965571,38801,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
25,1526756371.970272,38802,59353,2.995237,0,0,0,0,0,3,180,0,0,Anomaly
26,1526756378.975553,38802,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
27,1526756382.981246,38803,59353,2.994315,0,0,0,0,0,3,180,0,0,Anomaly
28,1526756389.985593,38803,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
29,1526756394,38804,59353,2.993339,0,0,0,0,0,3,180,0,0,Anomaly
30,1526756341.958671,123,123,0.017674,48,48,0,0,0,1,76,1,76,Normal
31,1526756342,123,123,0.014011,48,48,0,0,0,1,76,1,76,Normal
32,1526756341.959109,123,123,0.018252,48,48,0,0,0,1,76,1,76,Normal
33,1526756400.995683,38804,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
34,1526756405,38807,59353,2.992238,0,0,0,0,0,3,180,0,0,Anomaly
35,1526756412.005627,38807,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
36,1526756416.014432,38808,59353,2.991271,0,0,0,0,0,3,180,0,0,Anomaly
37,1526756423.015696,38808,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
38,1526756427.025539,38809,59353,2.990213,0,0,0,0,0,3,180,0,0,Anomaly
39,1526756374.958937,123,123,0.018314,48,48,0,0,0,1,76,1,76,Normal
40,1526756434.025775,38809,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
41,1526756438.036595,38810,59353,2.999201,0,0,0,0,0,3,180,0,0,Anomaly
42,1526756445.045833,38810,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
43,1526756449.047686,38811,59353,2.998286,0,0,0,0,0,3,180,0,0,Anomaly
44,1526756456.055884,38811,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
45,1526756460.058681,38812,59353,2.997323,0,0,0,0,0,3,180,0,0,Anomaly
46,1526756407.958986,123,123,0.012828,48,48,0,0,0,1,76,1,76,Normal
47,1526756408.959017,123,123,0.009598,48,48,0,0,0,1,76,1,76,Normal
48,1526756409.958993,123,123,0.013885,48,48,0,0,0,1,76,1,76,Normal
49,1526756403,45623,2407,64.045412,92,190,0,0,0,8,516,10,670,Anomaly
50,1526756467.065928,38812,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
51,1526756471.069639,38813,59353,2.996469,0,0,0,0,0,3,180,0,0,Anomaly
52,1526756478.076001,38813,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
53,1526756482.080781,38814,59353,2.995284,0,0,0,0,0,3,180,0,0,Anomaly
54,1526756489,38814,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
55,1526756493.091715,38815,59353,2.994395,0,0,0,0,0,3,180,0,0,Anomaly
56,1526756440.959207,123,123,0.013094,48,48,0,0,0,1,76,1,76,Normal
57,1526756500.096106,38815,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
58,1526756504.102736,38816,59353,2.993343,0,0,0,0,0,3,180,0,0,Anomaly
59,1526756511.106177,38816,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
60,1526756515.106867,38817,59353,2.999298,0,0,0,0,0,3,180,0,0,Anomaly
61,1526756522.116217,38817,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
62,1526756526.117992,38818,59353,2.998251,0,0,0,0,0,3,180,0,0,Anomaly
63,1526756474.959318,123,123,0.015365,48,48,0,0,0,1,76,1,76,Normal
64,1526756475.959432,123,123,0.00987,48,48,0,0,0,1,76,1,76,Normal
65,1526756477.959385,123,123,0.02243,48,48,0,0,0,1,76,1,76,Normal
66,1526756533.126204,38818,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
67,1526756537.129033,38819,59353,2.997321,0,0,0,0,0,3,180,0,0,Anomaly
68,1526756544.136259,38819,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
69,1526756548.137022,38820,59353,2.999265,0,0,0,0,0,3,180,0,0,Anomaly
70,1526756555.146294,38820,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
71,1526756261.843526,61530,22,0.077261,36,280,0,0,0,5,296,4,488,Normal
72,1526756559.148005,38821,59353,2.99834,0,0,0,0,0,3,180,0,0,Anomaly
73,1526756508.959422,123,123,0.016475,48,48,0,0,0,1,76,1,76,Normal
74,1526756566.156378,38821,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
75,1526756570.159021,38822,59353,2.997381,0,0,0,0,0,3,180,0,0,Anomaly
76,1526756577.166409,38822,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
77,1526756581.170071,38823,59353,2.996482,0,0,0,0,0,3,180,0,0,Anomaly
78,1526756588.176495,38823,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
79,1526756592.181203,38824,59353,2.995403,0,0,0,0,0,3,180,0,0,Anomaly
80,1526756542.959677,123,123,0.014171,48,48,0,0,0,1,76,1,76,Normal
81,1526756542.959919,123,123,0.011087,48,48,0,0,0,1,76,1,76,Normal
82,1526756599.186525,38824,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
83,1526756545.959696,123,123,0.012331,48,48,0,0,0,1,76,1,76,Normal
84,1526756603.192214,38825,59353,2.994456,0,0,0,0,0,3,180,0,0,Anomaly
85,1526756610.196691,38825,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
86,1526756614.203202,38826,59353,2.993451,0,0,0,0,0,3,180,0,0,Anomaly
87,1526756621.206722,38826,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
88,1526756625.207411,38827,59353,2.999268,0,0,0,0,0,3,180,0,0,Anomaly
89,1526756576.959754,123,123,0.015773,48,48,0,0,0,1,76,1,76,Normal
90,1526756632.216771,38827,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
91,1526756636.218448,38828,59353,2.998259,0,0,0,0,0,3,180,0,0,Anomaly
92,1526756643.226846,38828,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
93,1526756647.229617,38829,59353,2.99713,0,0,0,0,0,3,180,0,0,Anomaly
94,1526756654.236885,38829,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
95,1526756658.240564,38830,59353,2.996291,0,0,0,0,0,3,180,0,0,Anomaly
96,1526756608.959921,123,123,0.016996,48,48,0,0,0,1,76,1,76,Normal
97,1526756609.960031,123,123,0.010776,48,48,0,0,0,1,76,1,76,Normal
98,1526756665.246914,38830,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
99,1526756613.960059,123,123,0.012389,48,48,0,0,0,1,76,1,76,Normal
100,1526756669.251758,38831,59353,2.995068,0,0,0,0,0,3,180,0,0,Anomaly
101,1526756676.256795,38831,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
102,1526756680.262701,38832,59353,2.994171,0,0,0,0,0,3,180,0,0,Anomaly
103,1526756687.266863,38832,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
104,1526756691.273651,38833,59353,2.993327,0,0,0,0,0,3,180,0,0,Anomaly
105,1526756698,38833,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
106,1526756643.960173,123,123,0.01412,48,48,0,0,0,1,76,1,76,Normal
107,1526756702.284673,38834,59353,2.992311,0,0,0,0,0,3,180,0,0,Anomaly
108,1526756709.287032,38834,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
109,1526756713.295657,38835,59353,2.991334,0,0,0,0,0,3,180,0,0,Anomaly
110,1526756720.296915,38835,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
111,1526756724.306591,38836,59353,2.990379,0,0,0,0,0,3,180,0,0,Anomaly
112,1526756674.960246,123,123,0.018012,48,48,0,0,0,1,76,1,76,Normal
113,1526756731.306966,38836,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
114,1526756678.960209,123,123,0.00933,48,48,0,0,0,1,76,1,76,Normal
115,1526756679.960187,123,123,0.01508,48,48,0,0,0,1,76,1,76,Normal
116,1526756735.317873,38837,59353,2.999287,0,0,0,0,0,3,180,0,0,Anomaly
117,1526756742.327092,38837,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
118,1526756746.328811,38838,59353,2.998223,0,0,0,0,0,3,180,0,0,Anomaly
119,1526756753.337009,38838,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
120,1526756757,38839,59353,2.997342,0,0,0,0,0,3,180,0,0,Anomaly
121,1526756764.347117,38839,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
122,1526756712.960314,123,123,0.086409,48,48,0,0,0,1,76,1,76,Normal
123,1526756768.350789,38840,59353,2.996358,0,0,0,0,0,3,180,0,0,Anomaly
124,1526756775.357094,38840,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
125,1526756779.361823,38841,59353,2.995709,0,0,0,0,0,3,180,0,0,Anomaly
126,1526756786.367226,38841,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
127,1526756790.372826,38842,59353,2.994232,0,0,0,0,0,3,180,0,0,Anomaly
128,1526756740.960402,123,123,0.016901,48,48,0,0,0,1,76,1,76,Normal
129,1526756797.377096,38842,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
130,1526756745.960463,123,123,0.012528,48,48,0,0,0,1,76,1,76,Normal
131,1526756801.383924,38843,59353,2.993285,0,0,0,0,0,3,180,0,0,Anomaly
132,1526756747.960451,123,123,0.022427,48,48,0,0,0,1,76,1,76,Normal
133,1526756808.387197,38843,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
134,1526756812.387857,38844,59353,2.999362,0,0,0,0,0,3,180,0,0,Anomaly
135,1526756819.397248,38844,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
136,1526756823.397857,38845,59353,2.999331,0,0,0,0,0,3,180,0,0,Anomaly
137,1526756830.407262,38845,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
138,1526756834.408766,38846,59353,2.998379,0,0,0,0,0,3,180,0,0,Anomaly
139,1526756780.960392,123,123,0.012767,48,48,0,0,0,1,76,1,76,Normal
140,1526756841,38846,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
141,1526756845.419679,38847,59353,2.997492,0,0,0,0,0,3,180,0,0,Anomaly
142,1526756852.427218,38847,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
143,1526756856.430704,38848,59353,2.996607,0,0,0,0,0,3,180,0,0,Anomaly
144,1526756807.960478,123,123,0.013599,48,48,0,0,0,1,76,1,76,Normal
145,1526756863.437275,38848,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
146,1526756811.960519,123,123,0.010327,48,48,0,0,0,1,76,1,76,Normal
147,1526756867.441701,38849,59353,2.99559,0,0,0,0,0,3,180,0,0,Anomaly
148,1526756814.960598,123,123,0.013537,48,48,0,0,0,1,76,1,76,Normal
149,1526756874.447267,38849,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
150,1526756878.452688,38850,59353,2.994626,0,0,0,0,0,3,180,0,0,Anomaly
151,1526756885.457319,38850,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
152,1526756889,38851,59353,2.99839,0,0,0,0,0,3,180,0,0,Anomaly
153,1526756896.467393,38851,59353,0,0,0,0,0,0,1,60,0,0,Anomaly
154,1526756900.470046,38852,59353,2.997308,0,0,0,0,0,3,180,0,0,Anomaly
155,1526756849,123,123,0.014915,48,48,0,0,0,1,76,1,76,Normal
