Humidity,Temperature,Label
46.82,27.61,Normal
46.82,27.61,Normal
46.79,27.61,Normal
46.69,27.63,Normal
46.62,27.63,Normal
46.56,27.64,Normal
46.56,27.64,Normal
46.52,27.65,Normal
46.52,27.65,Normal
46.49,27.66,Normal
46.49,27.66,Normal
46.49,27.67,Normal
46.49,27.67,Normal
46.49,27.67,Normal
46.52,27.67,Normal
46.52,27.67,Normal
46.52,27.67,Normal
46.49,27.67,Normal
46.49,27.68,Normal
46.46,27.69,Normal
46.46,27.7,Normal
46.46,27.71,Normal
46.43,27.72,Normal
46.43,27.71,Normal
46.43,27.72,Normal
46.46,27.71,Normal
46.49,27.72,Normal
46.49,27.72,Normal
46.49,27.73,Normal
46.43,27.73,Normal
46.46,27.73,Normal
46.43,27.73,Normal
46.46,27.74,Normal
46.46,27.74,Normal
46.46,27.74,Normal
46.46,27.75,Normal
46.43,27.75,Normal
46.39,27.75,Normal
46.36,27.75,Normal
46.36,27.76,Normal
46.36,27.77,Normal
46.33,27.77,Normal
46.3,27.78,Normal
46.3,27.78,Normal
46.33,27.79,Normal
46.33,27.79,Normal
46.36,27.79,Normal
46.36,27.79,Normal
46.33,27.81,Normal
46.33,27.81,Normal
46.33,27.81,Normal
46.33,27.81,Normal
46.36,27.81,Normal
46.36,27.81,Normal
46.36,27.81,Normal
46.36,27.8,Normal
46.36,27.81,Normal
46.36,27.81,Normal
46.36,27.81,Normal
46.36,27.81,Normal
46.39,27.82,Normal
46.43,27.83,Normal
46.43,27.83,Normal
46.49,27.84,Normal
46.49,27.83,Normal
46.49,27.84,Normal
46.49,27.84,Normal
46.49,27.83,Normal
46.46,27.83,Normal
46.43,27.82,Normal
46.43,27.83,Normal
46.43,27.83,Normal
46.43,27.84,Normal
46.39,27.84,Normal
46.43,27.85,Normal
46.43,27.85,Normal
46.49,27.85,Normal
46.56,27.85,Normal
46.59,27.85,Normal
46.62,27.84,Normal
46.59,27.85,Normal
46.62,27.85,Normal
46.66,27.86,Normal
46.66,27.87,Normal
46.62,27.87,Normal
46.62,27.87,Normal
46.59,27.85,Normal
46.59,27.86,Normal
46.62,27.87,Normal
46.69,27.87,Normal
46.75,27.87,Normal
46.75,27.87,Normal
46.82,27.85,Normal
46.82,27.87,Normal
46.85,27.86,Normal
46.85,27.88,Normal
46.89,27.86,Normal
46.92,27.86,Normal
46.95,27.87,Normal
46.98,27.88,Normal
