Humidity,Temperature,Label
45.93,27.97,Normal
45.9,27.95,Normal
45.9,27.96,Normal
45.93,27.95,Normal
45.93,27.97,Normal
45.9,27.98,Normal
45.9,27.95,Normal
45.97,27.94,Normal
46,27.92,Normal
46.1,27.92,Normal
46.1,27.9,Normal
46.2,27.89,Normal
46.26,27.88,Normal
46.3,27.88,Normal
46.23,27.87,Normal
46.16,27.87,Normal
46.13,27.85,Normal
46.1,27.86,Normal
46.1,27.86,Normal
46.07,27.84,Normal
46.1,27.87,Normal
46.03,27.87,Normal
46.03,27.85,Normal
46.03,27.86,Normal
46.03,27.85,Normal
46.03,27.84,Normal
46.03,27.82,Normal
46.1,27.82,Normal
46.1,27.83,Normal
46.1,27.84,Normal
46.1,27.83,Normal
46.07,27.83,Normal
46.07,27.83,Normal
46.1,27.83,Normal
46.1,27.83,Normal
46.03,27.83,Normal
46,27.83,Normal
45.97,27.82,Normal
45.93,27.81,Normal
45.9,27.8,Normal
45.87,27.82,Normal
45.9,27.82,Normal
45.9,27.8,Normal
45.9,27.81,Normal
45.93,27.78,Normal
45.97,27.78,Normal
45.97,27.81,Normal
45.97,27.8,Normal
45.97,27.81,Normal
46,27.8,Normal
45.97,27.79,Normal
45.97,27.77,Normal
46,27.76,Normal
45.97,27.76,Normal
46,27.76,Normal
46,27.76,Normal
46.03,27.75,Normal
45.97,27.72,Normal
46,27.72,Normal
46,27.72,Normal
46,27.71,Normal
45.97,27.69,Normal
45.97,27.71,Normal
46,27.72,Normal
45.97,27.72,Normal
45.97,27.71,Normal
45.93,27.71,Normal
45.93,27.7,Normal
45.9,27.71,Normal
45.9,27.69,Normal
45.9,27.7,Normal
45.9,27.67,Normal
45.9,27.67,Normal
45.93,27.66,Normal
45.9,27.67,Normal
45.9,27.66,Normal
45.93,27.66,Normal
45.93,27.68,Normal
46,27.67,Normal
45.97,27.67,Normal
45.93,27.65,Normal
45.93,27.67,Normal
45.93,27.66,Normal
45.9,27.66,Normal
45.9,27.64,Normal
45.87,27.65,Normal
45.84,27.66,Normal
45.84,27.65,Normal
45.84,27.66,Normal
45.87,27.63,Normal
45.84,27.64,Normal
45.84,27.6,Normal
45.9,27.59,Normal
45.97,27.57,Normal
45.97,27.59,Normal
45.93,27.59,Normal
45.97,27.58,Normal
45.97,27.59,Normal
45.93,27.59,Normal
45.9,27.58,Normal
45.93,27.56,Normal
45.97,27.57,Normal
45.93,27.56,Normal
45.9,27.57,Normal
45.9,27.55,Normal
45.9,27.55,Normal
45.9,27.55,Normal
45.9,27.58,Normal
45.9,27.57,Normal
45.87,27.59,Normal
45.84,27.61,Normal
45.84,27.6,Normal
45.87,27.59,Normal
45.9,27.58,Normal
46.03,27.59,Normal
46.26,27.57,Normal
46.52,27.58,Normal
46.75,27.56,Normal
47.08,27.55,Normal
47.28,27.55,Normal
47.28,27.54,Normal
47.31,27.55,Normal
47.28,27.55,Normal
47.34,27.54,Normal
47.38,27.56,Normal
47.41,27.59,Normal
47.41,27.6,Normal
47.47,27.61,Normal
47.47,27.61,Normal
