,,,,,,,,,,,,,,ClusterLabel
1.0,1526756262.0,38792.0,59353.0,2.998333,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
2.0,1526756268.874876,38792.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
3.0,1526756272.877722,38793.0,59353.0,2.997182,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
4.0,1526756279.884959,38793.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
5.0,1526756283.888751,38794.0,59353.0,2.996286,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
6.0,1526756290.895039,38794.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
7.0,1526756294.899769,38795.0,59353.0,2.995263,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
8.0,1526756301.905126,38795.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
9.0,1526756305.905907,38796.0,59353.0,2.999262,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
10.0,1526756312.915181,38796.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
11.0,1526756316.916918,38797.0,59353.0,2.998315,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
12.0,1526756323.925214,38797.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
13.0,1526756327.925861,38798.0,59353.0,2.999395,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
14.0,1526756277.958574,123.0,123.0,0.012703,48.0,48.0,0.0,0.0,0.0,1.0,76.0,1.0,76.0,o
15.0,1526756243.0,123.0,123.0,35.017664,288.0,288.0,0.0,0.0,0.0,6.0,456.0,6.0,456.0,o
16.0,1526756239.958006,123.0,123.0,38.01765,288.0,288.0,0.0,0.0,0.0,6.0,456.0,6.0,456.0,o
17.0,1526756335.0,38798.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
18.0,1526756338.936997,38799.0,59353.0,2.998379,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
19.0,1526756345.945417,38799.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
20.0,1526756349.947973,38800.0,59353.0,2.997387,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
21.0,1526756356.955458,38800.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
22.0,1526756360.959133,38801.0,59353.0,2.996386,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
23.0,1526756239.958289,123.0,123.0,68.014546,336.0,336.0,0.0,0.0,0.0,7.0,532.0,7.0,532.0,o
24.0,1526756367.965571,38801.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
25.0,1526756371.970272,38802.0,59353.0,2.995237,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
26.0,1526756378.975553,38802.0,59353.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,o
27.0,1526756382.981246,38803.0,59353.0,2.994315,0.0,0.0,0.0,0.0,0.0,3.0,180.0,0.0,0.0,o
