,,ClusterLabel
46.82,27.61,o
46.82,27.61,o
46.79,27.61,o
46.69,27.63,o
46.62,27.63,o
46.56,27.64,o
46.56,27.64,o
46.52,27.65,o
46.52,27.65,o
46.49,27.66,o
46.49,27.66,o
46.49,27.67,o
46.49,27.67,o
46.49,27.67,o
46.52,27.67,o
46.52,27.67,o
46.52,27.67,o
46.49,27.67,o
46.49,27.68,o
46.46,27.69,o
46.46,27.7,o
46.46,27.71,o
46.43,27.72,o
46.43,27.71,o
46.43,27.72,o
46.46,27.71,o
46.49,27.72,o
46.49,27.72,o
46.49,27.73,o
46.43,27.73,o
46.46,27.73,o
46.43,27.73,o
46.46,27.74,o
46.46,27.74,o
46.46,27.74,o
46.46,27.75,o
46.43,27.75,o
46.39,27.75,o
46.36,27.75,o
46.36,27.76,o
46.36,27.77,o
46.33,27.77,o
46.3,27.78,o
46.3,27.78,o
46.33,27.79,o
46.33,27.79,o
46.36,27.79,o
46.36,27.79,o
46.33,27.81,o
46.33,27.81,o
46.33,27.81,o
46.33,27.81,o
46.36,27.81,o
46.36,27.81,o
46.36,27.81,o
46.36,27.8,o
46.36,27.81,o
46.36,27.81,o
46.36,27.81,o
46.36,27.81,o
46.39,27.82,o
46.43,27.83,o
46.43,27.83,o
46.49,27.84,o
46.49,27.83,o
46.49,27.84,o
46.49,27.84,o
46.49,27.83,o
46.46,27.83,o
46.43,27.82,o
46.43,27.83,o
46.43,27.83,o
46.43,27.84,o
46.39,27.84,o
46.43,27.85,o
46.43,27.85,o
46.49,27.85,o
46.56,27.85,o
46.59,27.85,o
46.62,27.84,o
46.59,27.85,o
46.62,27.85,o
46.66,27.86,o
46.66,27.87,o
46.62,27.87,o
46.62,27.87,o
46.59,27.85,o
46.59,27.86,o
46.62,27.87,o
46.69,27.87,o
46.75,27.87,o
46.75,27.87,o
46.82,27.85,o
46.82,27.87,o
46.85,27.86,o
46.85,27.88,o
46.89,27.86,o
46.92,27.86,o
46.95,27.87,o
46.98,27.88,o
47.02,27.87,o
46.98,27.88,o
46.98,27.89,o
46.98,27.89,o
46.95,27.88,o
47.02,27.88,o
47.02,27.89,o
47.02,27.9,o
47.02,27.89,o
47.05,27.88,o
47.02,27.88,o
47.02,27.89,o
47.02,27.89,o
47.18,27.87,o
47.21,27.86,o
47.21,27.85,o
47.08,27.84,o
46.85,27.83,o
46.89,27.82,o
46.92,27.79,o
46.89,27.78,o
46.79,27.77,o
46.92,27.75,o
46.98,27.75,o
47.02,27.73,o
46.95,27.73,o
46.89,27.71,o
46.89,27.69,o
47.05,27.7,o
47.18,27.7,o
47.28,27.69,o
47.11,27.67,o
47.15,27.66,o
47.15,27.64,o
47.21,27.64,o
47.02,27.62,o
47.11,27.62,o
47.11,27.61,o
47.08,27.61,o
47.08,27.58,o
47.11,27.56,o
47.15,27.55,o
47.08,27.54,o
47.08,27.53,o
46.98,27.52,o
47.05,27.51,o
47.15,27.5,o
47.15,27.49,o
47.28,27.49,o
47.21,27.48,o
47.31,27.47,o
47.47,27.47,o
47.47,27.47,o
47.41,27.46,o
47.44,27.46,o
47.44,27.46,o
47.44,27.44,o
47.41,27.45,o
47.28,27.43,o
47.28,27.43,o
47.41,27.42,o
47.34,27.42,o
47.44,27.43,o
47.47,27.41,o
47.34,27.41,o
47.41,27.41,o
47.47,27.41,o
47.24,27.4,o
47.21,27.38,o
47.34,27.38,o
47.34,27.37,o
47.38,27.38,o
47.44,27.38,o
47.34,27.37,o
47.31,27.35,o
47.28,27.36,o
47.34,27.35,o
47.31,27.35,o
47.28,27.34,o
47.31,27.33,o
47.38,27.34,o
47.24,27.32,o
47.15,27.32,o
47.02,27.3,o
47.21,27.3,o
47.34,27.31,o
47.31,27.31,o
47.31,27.31,o
47.34,27.3,o
47.47,27.3,o
47.41,27.29,o
47.34,27.27,o
47.34,27.26,o
47.15,27.25,o
47.15,27.24,o
47.24,27.25,o
47.34,27.25,o
47.18,27.24,o
47.21,27.25,o
47.21,27.25,o
47.34,27.25,o
47.18,27.23,o
47.21,27.23,o
47.08,27.24,o
47.15,27.22,o
47.02,27.22,o
47.15,27.22,o
47.11,27.21,o
47.11,27.21,o
47.08,27.2,o
47.02,27.17,o
47.15,27.19,o
47.15,27.18,o
47.21,27.17,o
47.15,27.17,o
47.31,27.17,o
47.24,27.17,o
47.05,27.17,o
46.92,27.15,o
47.02,27.16,o
47.08,27.15,o
47.15,27.16,o
47.28,27.16,o
47.15,27.15,o
47.21,27.15,o
47.08,27.13,o
47.11,27.15,o
47.18,27.15,o
47.24,27.14,o
47.28,27.13,o
47.28,27.14,o
47.28,27.13,o
47.24,27.13,o
47.31,27.13,o
47.21,27.11,o
47.05,27.08,o
46.95,27.09,o
47.15,27.11,o
47.05,27.09,o
47.02,27.07,o
47.02,27.08,o
47.15,27.11,o
47.15,27.11,o
47.24,27.11,o
47.21,27.12,o
47.15,27.13,o
47.08,27.13,o
46.89,27.12,o
46.79,27.09,o
46.95,27.09,o
46.75,27.05,o
46.95,27.04,o
47.15,27.05,o
47.21,27.06,o
47.34,27.07,o
47.31,27.07,o
47.18,27.05,o
47.15,27.04,o
47.11,27.04,o
47.18,27.04,o
47.08,27.03,o
47.24,27.04,o
47.44,27.06,o
47.31,27.07,o
47.15,27.06,o
47.08,27.06,o
47.02,27.04,o
47.15,27.05,o
47.31,27.06,o
47.28,27.06,o
47.28,27.07,o
47.28,27.06,o
47.21,27.07,o
47.15,27.06,o
47.15,27.06,o
47.15,27.06,o
47.02,27.05,o
47.08,27.06,o
47.08,27.05,o
47.02,27.06,o
46.95,27.04,o
47.02,27.05,o
46.92,27.05,o
46.92,27.05,o
46.75,27.03,o
46.82,27.03,o
46.82,27.04,o
46.89,27.03,o
46.95,27.03,o
46.85,27.02,o
46.95,27.03,o
46.75,27.0,o
46.89,27.01,o
46.95,27.01,o
46.98,27.01,o
46.89,27.01,o
46.89,27.02,o
47.02,27.02,o
47.05,27.03,o
46.89,27.0,o
46.95,27.02,o
47.02,27.01,o
46.89,27.01,o
46.89,27.01,o
46.89,27.0,o
46.82,26.99,o
46.79,27.0,o
46.82,26.97,o
46.92,26.98,o
46.92,26.97,o
47.02,26.98,o
47.05,26.99,o
47.11,27.0,o
47.11,26.97,o
47.18,26.98,o
47.34,26.98,o
47.41,26.98,o
47.44,26.98,o
47.64,26.98,o
47.9,26.96,o
47.44,26.98,o
47.28,26.97,o
46.89,26.98,o
46.79,26.99,o
46.82,27.01,o
47.05,27.02,o
47.28,27.03,o
47.38,27.04,o
47.24,27.05,o
47.21,27.07,o
47.18,27.08,o
47.15,27.1,o
47.15,27.11,o
47.18,27.13,o
47.15,27.15,o
47.18,27.16,o
47.11,27.17,o
46.95,27.19,o
46.82,27.21,o
46.72,27.21,o
46.62,27.23,o
46.52,27.25,o
46.43,27.26,o
46.36,27.28,o
46.33,27.29,o
46.3,27.3,o
46.26,27.31,o
46.23,27.31,o
46.23,27.32,o
46.23,27.34,o
46.23,27.35,o
46.26,27.37,o
46.33,27.36,o
46.46,27.38,o
46.49,27.39,o
46.52,27.4,o
46.56,27.39,o
46.62,27.41,o
46.56,27.41,o
46.56,27.44,o
46.56,27.45,o
46.52,27.44,o
46.52,27.46,o
46.56,27.45,o
46.69,27.47,o
46.72,27.49,o
46.66,27.49,o
46.62,27.5,o
46.56,27.5,o
46.62,27.52,o
46.59,27.52,o
46.59,27.53,o
46.59,27.53,o
46.62,27.54,o
46.66,27.54,o
46.62,27.56,o
46.62,27.56,o
46.66,27.56,o
46.69,27.58,o
46.69,27.58,o
46.69,27.59,o
46.69,27.6,o
46.69,27.59,o
46.69,27.61,o
46.69,27.61,o
46.69,27.62,o
46.66,27.61,o
46.66,27.63,o
46.62,27.62,o
46.62,27.64,o
46.62,27.63,o
46.62,27.66,o
46.62,27.65,o
46.79,27.61,o
46.85,27.62,o
46.89,27.62,o
47.02,27.62,o
47.24,27.62,o
47.34,27.65,o
47.31,27.64,o
47.21,27.64,o
47.05,27.63,o
46.89,27.63,o
46.82,27.64,o
46.89,27.64,o
46.95,27.65,o
46.95,27.64,o
46.89,27.66,o
46.92,27.67,o
46.95,27.69,o
46.95,27.69,o
46.95,27.69,o
46.95,27.68,o
46.89,27.68,o
46.82,27.68,o
46.75,27.69,o
46.75,27.69,o
46.75,27.68,o
46.75,27.69,o
46.72,27.69,o
46.69,27.69,o
46.69,27.71,o
46.66,27.71,o
46.62,27.73,o
46.62,27.72,o
46.62,27.73,o
46.56,27.74,o
46.62,27.74,o
46.62,27.73,o
46.62,27.75,o
46.62,27.76,o
46.62,27.75,o
46.62,27.74,o
46.62,27.75,o
46.62,27.75,o
46.66,27.75,o
46.62,27.75,o
46.62,27.74,o
46.62,27.75,o
46.59,27.74,o
46.66,27.75,o
46.69,27.75,o
46.69,27.74,o
46.69,27.75,o
46.75,27.74,o
46.79,27.75,o
46.79,27.75,o
46.75,27.75,o
47.41,27.74,o
47.6,27.75,o
47.6,27.73,o
47.6,27.74,o
47.57,27.74,o
47.24,27.75,o
47.02,27.76,o
46.95,27.76,o
47.08,27.75,o
47.18,27.73,o
47.21,27.72,o
47.15,27.72,o
47.15,27.71,o
47.21,27.71,o
47.24,27.71,o
47.28,27.72,o
47.28,27.73,o
47.28,27.75,o
47.28,27.75,o
47.31,27.77,o
47.28,27.77,o
47.31,27.79,o
47.24,27.78,o
47.21,27.75,o
47.47,27.74,o
47.41,27.74,o
47.44,27.71,o
47.41,27.71,o
47.34,27.69,o
47.44,27.68,o
47.47,27.67,o
47.38,27.66,o
47.28,27.66,o
47.31,27.65,o
47.24,27.65,o
47.15,27.63,o
47.21,27.62,o
47.15,27.57,o
47.18,27.58,o
46.95,27.54,o
46.95,27.52,o
47.15,27.53,o
47.28,27.51,o
47.21,27.48,o
47.11,27.45,o
47.21,27.43,o
47.31,27.42,o
47.41,27.41,o
47.38,27.4,o
47.34,27.38,o
47.24,27.36,o
47.21,27.35,o
47.31,27.34,o
47.34,27.32,o
47.18,27.3,o
47.24,27.27,o
47.24,27.27,o
47.28,27.25,o
47.18,27.23,o
47.21,27.2,o
47.21,27.18,o
47.28,27.17,o
47.34,27.15,o
47.28,27.12,o
47.34,27.1,o
47.38,27.1,o
47.38,27.07,o
47.41,27.07,o
47.41,27.04,o
47.44,27.03,o
47.47,27.02,o
47.41,27.0,o
47.34,26.95,o
47.34,26.95,o
47.38,26.94,o
47.44,26.93,o
47.34,26.91,o
47.41,26.91,o
47.41,26.88,o
47.44,26.89,o
47.38,26.83,o
47.41,26.82,o
47.57,26.83,o
47.54,26.79,o
47.54,26.79,o
47.54,26.79,o
47.57,26.78,o
47.6,26.77,o
47.6,26.76,o
47.6,26.76,o
47.57,26.75,o
47.54,26.75,o
47.44,26.74,o
47.41,26.73,o
47.41,26.71,o
47.47,26.68,o
47.47,26.67,o
47.54,26.66,o
47.47,26.64,o
47.57,26.63,o
47.6,26.64,o
47.6,26.63,o
47.64,26.63,o
47.57,26.62,o
47.57,26.59,o
47.6,26.59,o
47.6,26.58,o
47.67,26.58,o
47.6,26.6,o
47.6,26.58,o
47.54,26.57,o
47.47,26.56,o
47.47,26.54,o
47.47,26.53,o
47.47,26.54,o
47.38,26.53,o
47.34,26.51,o
47.47,26.51,o
47.44,26.48,o
47.47,26.5,o
47.47,26.47,o
47.51,26.48,o
47.57,26.47,o
47.57,26.45,o
47.64,26.43,o
47.7,26.43,o
47.73,26.43,o
47.67,26.43,o
47.64,26.4,o
47.6,26.4,o
47.64,26.41,o
47.64,26.43,o
47.57,26.41,o
47.54,26.41,o
47.47,26.39,o
47.57,26.38,o
47.54,26.38,o
47.57,26.38,o
47.54,26.39,o
47.47,26.39,o
47.6,26.39,o
47.6,26.4,o
47.64,26.39,o
47.54,26.35,o
47.47,26.34,o
47.6,26.34,o
47.6,26.33,o
47.64,26.34,o
47.64,26.31,o
47.6,26.32,o
47.6,26.31,o
47.57,26.3,o
47.47,26.31,o
47.51,26.31,o
47.47,26.32,o
47.41,26.32,o
47.44,26.3,o
47.47,26.3,o
47.44,26.3,o
47.38,26.27,o
47.44,26.25,o
47.47,26.26,o
47.47,26.25,o
47.47,26.23,o
47.57,26.23,o
47.57,26.22,o
47.57,26.21,o
47.6,26.21,o
47.6,26.19,o
47.54,26.19,o
47.54,26.17,o
47.44,26.18,o
47.54,26.19,o
47.51,26.19,o
47.41,26.18,o
47.41,26.18,o
47.34,26.15,o
47.41,26.16,o
47.44,26.17,o
47.44,26.18,o
47.41,26.17,o
47.38,26.14,o
47.47,26.15,o
47.57,26.15,o
47.77,26.16,o
47.86,26.16,o
48.29,26.16,o
48.45,26.15,o
