Index,ts,id.orig_p,id.resp_p,duration,orig_bytes,resp_bytes,local_orig,local_resp,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1,1526756262,38792,59353,2.998333,0,0,0,0,0,3,180,0,0,1
2,1526756268.874876,38792,59353,0,0,0,0,0,0,1,60,0,0,1
3,1526756272.877722,38793,59353,2.997182,0,0,0,0,0,3,180,0,0,1
4,1526756279.884959,38793,59353,0,0,0,0,0,0,1,60,0,0,1
5,1526756283.888751,38794,59353,2.996286,0,0,0,0,0,3,180,0,0,1
6,1526756290.895039,38794,59353,0,0,0,0,0,0,1,60,0,0,1
7,1526756294.899769,38795,59353,2.995263,0,0,0,0,0,3,180,0,0,1
8,1526756301.905126,38795,59353,0,0,0,0,0,0,1,60,0,0,1
9,1526756305.905907,38796,59353,2.999262,0,0,0,0,0,3,180,0,0,1
10,1526756312.915181,38796,59353,0,0,0,0,0,0,1,60,0,0,1
11,1526756316.916918,38797,59353,2.998315,0,0,0,0,0,3,180,0,0,1
12,1526756323.925214,38797,59353,0,0,0,0,0,0,1,60,0,0,1
13,1526756327.925861,38798,59353,2.999395,0,0,0,0,0,3,180,0,0,1
14,1526756277.958574,123,123,0.012703,48,48,0,0,0,1,76,1,76,0
15,1526756243,123,123,35.017664,288,288,0,0,0,6,456,6,456,0
16,1526756239.958006,123,123,38.01765,288,288,0,0,0,6,456,6,456,0
17,1526756335,38798,59353,0,0,0,0,0,0,1,60,0,0,1
18,1526756338.936997,38799,59353,2.998379,0,0,0,0,0,3,180,0,0,1
19,1526756345.945417,38799,59353,0,0,0,0,0,0,1,60,0,0,1
20,1526756349.947973,38800,59353,2.997387,0,0,0,0,0,3,180,0,0,1
21,1526756356.955458,38800,59353,0,0,0,0,0,0,1,60,0,0,1
22,1526756360.959133,38801,59353,2.996386,0,0,0,0,0,3,180,0,0,1
23,1526756239.958289,123,123,68.014546,336,336,0,0,0,7,532,7,532,0
24,1526756367.965571,38801,59353,0,0,0,0,0,0,1,60,0,0,1
25,1526756371.970272,38802,59353,2.995237,0,0,0,0,0,3,180,0,0,1
26,1526756378.975553,38802,59353,0,0,0,0,0,0,1,60,0,0,1
27,1526756382.981246,38803,59353,2.994315,0,0,0,0,0,3,180,0,0,1
28,1526756389.985593,38803,59353,0,0,0,0,0,0,1,60,0,0,1
29,1526756394,38804,59353,2.993339,0,0,0,0,0,3,180,0,0,1
30,1526756341.958671,123,123,0.017674,48,48,0,0,0,1,76,1,76,0
31,1526756342,123,123,0.014011,48,48,0,0,0,1,76,1,76,0
32,1526756341.959109,123,123,0.018252,48,48,0,0,0,1,76,1,76,0
33,1526756400.995683,38804,59353,0,0,0,0,0,0,1,60,0,0,1
34,1526756405,38807,59353,2.992238,0,0,0,0,0,3,180,0,0,1
35,1526756412.005627,38807,59353,0,0,0,0,0,0,1,60,0,0,1
36,1526756416.014432,38808,59353,2.991271,0,0,0,0,0,3,180,0,0,1
37,1526756423.015696,38808,59353,0,0,0,0,0,0,1,60,0,0,1
38,1526756427.025539,38809,59353,2.990213,0,0,0,0,0,3,180,0,0,1
39,1526756374.958937,123,123,0.018314,48,48,0,0,0,1,76,1,76,0
40,1526756434.025775,38809,59353,0,0,0,0,0,0,1,60,0,0,1
41,1526756438.036595,38810,59353,2.999201,0,0,0,0,0,3,180,0,0,1
42,1526756445.045833,38810,59353,0,0,0,0,0,0,1,60,0,0,1
43,1526756449.047686,38811,59353,2.998286,0,0,0,0,0,3,180,0,0,1
44,1526756456.055884,38811,59353,0,0,0,0,0,0,1,60,0,0,1
45,1526756460.058681,38812,59353,2.997323,0,0,0,0,0,3,180,0,0,1
46,1526756407.958986,123,123,0.012828,48,48,0,0,0,1,76,1,76,0
47,1526756408.959017,123,123,0.009598,48,48,0,0,0,1,76,1,76,0
48,1526756409.958993,123,123,0.013885,48,48,0,0,0,1,76,1,76,0
49,1526756403,45623,2407,64.045412,92,190,0,0,0,8,516,10,670,1
50,1526756467.065928,38812,59353,0,0,0,0,0,0,1,60,0,0,1
