Humidity,Temperature,Label
45.93,27.97,0
45.9,27.95,0
45.9,27.96,0
45.93,27.95,0
45.93,27.97,0
45.9,27.98,0
45.9,27.95,0
45.97,27.94,0
46,27.92,0
46.1,27.92,0
46.1,27.9,0
46.2,27.89,0
46.26,27.88,0
46.3,27.88,0
46.23,27.87,0
46.16,27.87,0
46.13,27.85,0
46.1,27.86,0
46.1,27.86,0
46.07,27.84,0
46.1,27.87,0
46.03,27.87,0
46.03,27.85,0
46.03,27.86,0
46.03,27.85,0
46.03,27.84,0
46.03,27.82,0
46.1,27.82,0
46.1,27.83,0
46.1,27.84,0
46.1,27.83,0
46.07,27.83,0
46.07,27.83,0
46.1,27.83,0
46.1,27.83,0
46.03,27.83,0
46,27.83,0
45.97,27.82,0
45.93,27.81,0
45.9,27.8,0
45.87,27.82,0
45.9,27.82,0
45.9,27.8,0
45.9,27.81,0
45.93,27.78,0
45.97,27.78,0
45.97,27.81,0
45.97,27.8,0
45.97,27.81,0
46,27.8,0
45.97,27.79,0
45.97,27.77,0
46,27.76,0
45.97,27.76,0
46,27.76,0
46,27.76,0
46.03,27.75,0
45.97,27.72,0
46,27.72,0
46,27.72,0
46,27.71,0
45.97,27.69,0
45.97,27.71,0
46,27.72,0
45.97,27.72,0
45.97,27.71,0
45.93,27.71,0
45.93,27.7,0
45.9,27.71,0
45.9,27.69,0
45.9,27.7,0
45.9,27.67,0
45.9,27.67,0
45.93,27.66,0
45.9,27.67,0
45.9,27.66,0
45.93,27.66,0
45.93,27.68,0
46,27.67,0
45.97,27.67,0
45.93,27.65,0
45.93,27.67,0
45.93,27.66,0
45.9,27.66,0
45.9,27.64,0
45.87,27.65,0
45.84,27.66,0
45.84,27.65,0
45.84,27.66,0
45.87,27.63,0
45.84,27.64,0
45.84,27.6,0
45.9,27.59,0
45.97,27.57,0
45.97,27.59,0
45.93,27.59,0
45.97,27.58,0
45.97,27.59,0
45.93,27.59,0
45.9,27.58,0
45.93,27.56,0
45.97,27.57,0
45.93,27.56,0
45.9,27.57,0
45.9,27.55,0
45.9,27.55,0
45.9,27.55,0
45.9,27.58,0
45.9,27.57,0
45.87,27.59,0
45.84,27.61,0
45.84,27.6,0
45.87,27.59,0
45.9,27.58,0
46.03,27.59,0
46.26,27.57,0
46.52,27.58,0
46.75,27.56,0
47.08,27.55,0
47.28,27.55,0
47.28,27.54,0
47.31,27.55,0
47.28,27.55,0
47.34,27.54,0
47.38,27.56,0
47.41,27.59,0
47.41,27.6,0
47.47,27.61,0
47.47,27.61,0
47.47,27.61,0
47.47,27.64,0
47.41,27.64,0
47.38,27.65,0
47.34,27.65,0
47.28,27.67,0
47.24,27.69,0
47.18,27.72,0
47.15,27.72,0
47.15,27.73,0
47.15,27.74,0
47.08,27.76,0
47.05,27.77,0
47.02,27.79,0
46.95,27.79,0
46.95,27.8,0
46.92,27.81,0
46.89,27.82,0
46.85,27.84,0
46.82,27.85,0
46.75,27.87,0
46.69,27.86,0
46.66,27.87,0
46.62,27.88,0
46.62,27.89,0
46.56,27.9,0
46.52,27.9,0
46.49,27.91,0
46.46,27.91,0
46.43,27.91,0
46.43,27.92,0
46.43,27.93,0
46.43,27.93,0
46.39,27.95,0
46.39,27.96,0
46.36,27.96,0
46.33,27.96,0
46.3,27.97,0
46.26,27.97,0
46.26,27.98,0
46.23,27.99,0
46.23,28,0
46.2,28.01,0
46.2,28.01,0
46.16,28.01,0
46.16,28.02,0
46.16,28.03,0
46.13,28.03,0
46.1,28.04,0
46.07,28.04,0
46.03,28.05,0
46.03,28.08,0
46.03,28.09,0
46.03,28.09,0
46,28.09,0
46.03,28.11,0
46.1,28.11,0
46.1,28.11,0
46.13,28.12,0
46.16,28.12,0
46.16,28.13,0
46.16,28.13,0
46.16,28.14,0
46.16,28.14,0
46.16,28.15,0
46.13,28.16,0
46.13,28.15,0
46.1,28.16,0
46.13,28.17,0
46.1,28.18,0
46.1,28.17,0
46.07,28.17,0
46.03,28.17,0
46.03,28.18,0
46.03,28.18,0
46.03,28.17,0
46,28.18,0
45.97,28.19,0
45.97,28.19,0
45.97,28.19,0
45.97,28.2,0
45.97,28.2,0
45.93,28.21,0
45.9,28.21,0
45.9,28.23,0
45.9,28.22,0
45.87,28.23,0
45.87,28.25,0
45.84,28.25,0
45.84,28.25,0
45.84,28.24,0
45.84,28.24,0
45.84,28.25,0
45.84,28.23,0
45.84,28.26,0
45.77,28.25,0
45.8,28.26,0
45.84,28.26,0
45.77,28.27,0
45.8,28.27,0
45.77,28.27,0
45.77,28.27,0
45.77,28.27,0
45.74,28.27,0
45.74,28.27,0
45.74,28.28,0
45.74,28.29,0
45.7,28.29,0
45.7,28.29,0
45.7,28.29,0
45.7,28.29,0
45.7,28.29,0
45.67,28.29,0
45.67,28.3,0
45.67,28.3,0
45.67,28.3,0
45.64,28.3,0
45.67,28.31,0
45.64,28.31,0
45.64,28.3,0
45.64,28.31,0
45.64,28.32,0
45.6,28.31,0
45.6,28.33,0
45.6,28.31,0
45.57,28.33,0
45.57,28.33,0
45.57,28.36,0
45.57,28.35,0
45.57,28.35,0
45.54,28.35,0
45.51,28.36,0
45.51,28.36,0
45.51,28.35,0
45.51,28.36,0
45.51,28.37,0
45.47,28.37,0
45.47,28.37,0
45.44,28.37,0
45.44,28.37,0
45.44,28.37,0
45.44,28.38,0
45.44,28.37,0
45.44,28.39,0
45.44,28.39,0
45.44,28.4,0
45.44,28.39,0
45.41,28.4,0
45.41,28.4,0
45.44,28.41,0
45.41,28.41,0
45.37,28.41,0
45.37,28.41,0
45.37,28.41,0
45.34,28.41,0
45.37,28.42,0
45.34,28.42,0
45.34,28.42,0
45.31,28.42,0
45.31,28.42,0
45.34,28.43,0
45.34,28.43,0
45.34,28.44,0
45.34,28.43,0
45.31,28.43,0
45.31,28.43,0
45.31,28.43,0
45.31,28.43,0
45.31,28.45,0
45.31,28.45,0
45.31,28.45,0
45.31,28.44,0
45.31,28.46,0
45.31,28.45,0
45.28,28.45,0
45.28,28.45,0
45.28,28.44,0
45.24,28.46,0
45.24,28.46,0
45.24,28.45,0
45.24,28.47,0
45.24,28.46,0
45.24,28.45,0
45.24,28.46,0
45.24,28.47,0
45.24,28.47,0
45.24,28.48,0
45.24,28.48,0
45.21,28.47,0
45.21,28.48,0
45.24,28.47,0
45.24,28.47,0
45.18,28.48,0
45.11,28.45,0
45.01,28.45,0
44.98,28.44,0
44.98,28.45,0
44.98,28.45,0
45.01,28.44,0
45.04,28.45,0
45.04,28.43,0
45.08,28.44,0
45.14,28.43,0
45.18,28.42,0
45.21,28.43,0
45.24,28.41,0
45.21,28.41,0
45.24,28.41,0
45.21,28.43,0
45.18,28.43,0
45.18,28.45,0
45.11,28.44,0
45.08,28.44,0
44.98,28.44,0
44.91,28.42,0
44.85,28.42,0
44.85,28.43,0
44.81,28.42,0
44.78,28.41,0
44.81,28.41,0
44.78,28.41,0
44.78,28.41,0
44.71,28.39,0
44.68,28.38,0
44.68,28.41,0
44.71,28.39,0
44.71,28.39,0
44.71,28.41,0
44.61,28.42,0
44.58,28.4,0
44.52,28.41,0
44.48,28.4,0
44.48,28.39,0
44.45,28.4,0
44.38,28.39,0
44.38,28.38,0
44.32,28.39,0
44.35,28.38,0
44.35,28.39,0
44.38,28.37,0
44.38,28.39,0
44.32,28.37,0
44.32,28.37,0
44.32,28.36,0
44.32,28.37,0
44.35,28.36,0
44.38,28.37,0
44.45,28.36,0
44.45,28.39,0
44.48,28.39,0
44.55,28.4,0
44.65,28.4,0
44.58,28.39,0
44.55,28.4,0
44.52,28.39,0
44.58,28.4,0
44.58,28.41,0
44.58,28.43,0
44.65,28.42,0
44.65,28.43,0
44.71,28.42,0
44.71,28.43,0
44.71,28.42,0
44.71,28.43,0
44.68,28.43,0
44.68,28.42,0
44.71,28.44,0
44.71,28.44,0
44.75,28.45,0
44.75,28.45,0
44.75,28.47,0
44.75,28.47,0
44.78,28.46,0
44.78,28.46,0
44.78,28.46,0
44.78,28.45,0
44.78,28.45,0
44.78,28.47,0
44.78,28.47,0
44.78,28.47,0
44.75,28.48,0
44.78,28.47,0
44.78,28.48,0
44.75,28.48,0
44.78,28.48,0
44.75,28.49,0
44.78,28.49,0
44.78,28.49,0
44.78,28.49,0
44.78,28.5,0
44.78,28.5,0
44.78,28.51,0
44.78,28.51,0
44.78,28.51,0
44.78,28.51,0
44.78,28.5,0
44.78,28.5,0
44.78,28.51,0
44.81,28.51,0
44.78,28.51,0
44.81,28.51,0
44.81,28.53,0
44.85,28.51,0
44.81,28.51,0
44.85,28.51,0
44.81,28.51,0
44.85,28.53,0
44.85,28.52,0
44.85,28.5,0
44.85,28.51,0
44.85,28.51,0
44.85,28.51,0
44.85,28.51,0
44.85,28.51,0
44.88,28.51,0
44.88,28.51,0
44.88,28.51,0
44.88,28.52,0
44.91,28.51,0
