PI number,outcome name,outcome description
1590,ABET CIS SLO 6,"Support the delivery, use, and management of information systems within an information systems environment."
1591,ABET CIS SLO 6,"Support the delivery, use, and management of information systems within an information systems environment."
1592,ABET CIS SLO 6,"Support the delivery, use, and management of information systems within an information systems environment."
1761,ABET CSC-CIS SLO 4,Recognize professional responsibilities and make informed judgments in computing practice based on legal and ethical principles.
1762,ABET CSC-CIS SLO 4,Recognize professional responsibilities and make informed judgments in computing practice based on legal and ethical principles.
1763,ABET CSC-CIS SLO 4,Recognize professional responsibilities and make informed judgments in computing practice based on legal and ethical principles.
1764,ABET CSC-CIS SLO 4,Recognize professional responsibilities and make informed judgments in computing practice based on legal and ethical principles.
1556,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1557,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1558,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1559,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1560,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1561,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1562,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1563,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1564,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1565,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1566,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1567,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1547,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1548,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1549,ABET CSC-CIS SLO 1,Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.
1550,ABET CSC-CIS SLO 2,"Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the programs discipline."
1551,ABET CSC-CIS SLO 2,"Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the programs discipline."
1552,ABET CSC-CIS SLO 2,"Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the programs discipline."
1553,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1554,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1555,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1576,ABET CIS SLO 6,"Support the delivery, use, and management of information systems within an information systems environment."
1577,ABET CIS SLO 6,"Support the delivery, use, and management of information systems within an information systems environment."
1700,ABET CSC-CIS SLO 2,"Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the programs discipline."
1701,ABET CSC-CIS SLO 2,"Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the programs discipline."
1702,ABET CSC-CIS SLO 2,"Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the programs discipline."
1703,ABET CSC-CIS SLO 5,Function effectively as a member or leader of a team engaged in activities appropriate to the programs discipline.
1704,ABET CSC-CIS SLO 5,Function effectively as a member or leader of a team engaged in activities appropriate to the programs discipline.
1705,ABET CSC-CIS SLO 5,Function effectively as a member or leader of a team engaged in activities appropriate to the programs discipline.
1706,ABET CSC-CIS SLO 5,Function effectively as a member or leader of a team engaged in activities appropriate to the programs discipline.
1707,ABET CSC-CIS SLO 5,Function effectively as a member or leader of a team engaged in activities appropriate to the programs discipline.
1708,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1709,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
1710,ABET CSC-CIS SLO 6,Apply computer science theory and software development fundamentals to produce computing-based solutions.
